2938	14458.5
2938	14458.5
5597	9200.21
5597	9200.21
2160	8799.96
2160	8799.96
3901	8164.82
3901	8164.82
9424	7951.58
9424	7951.58
8589	7460.98
8589	7460.98
478	7406.34
478	7406.34
2373	6675.12
2373	6675.12
4929	6621.46
4929	6621.46
7981	6527.36
7981	6527.36
962	6122.47
962	6122.47
7754	5899.82
7754	5899.82
80	5728.84
80	5728.84
4920	5723.96
4920	5723.96
4081	5653.47
4081	5653.47
4215	5639.4
4215	5639.4
6081	5489.3
6081	5489.3
8588	5111.46
8588	5111.46
4006	5079.47
4006	5079.47
9278	5074.53
9278	5074.53
267	5068.47
267	5068.47
6999	5029.36
6999	5029.36
7114	4957.73
7114	4957.73
6787	4810.02
6787	4810.02
5771	4805.3
5771	4805.3
6949	4795.64
6949	4795.64
1382	4744.6
1382	4744.6
9079	4737.2
9079	4737.2
3443	4697.65
3443	4697.65
353	4610.52
353	4610.52
1550	4461.32
1550	4461.32
8435	4345.99
8435	4345.99
5158	4296.68
5158	4296.68
7382	4294.74
7382	4294.74
4308	4286.47
4308	4286.47
6841	4250.48
6841	4250.48
4956	4233.46
4956	4233.46
1256	4231.18
1256	4231.18
1541	4160.92
1541	4160.92
610	4063.36
610	4063.36
1924	4020.5
1924	4020.5
1647	4019.45
1647	4019.45
1190	4013.11
1190	4013.11
8637	3968.39
8637	3968.39
4526	3924.31
4526	3924.31
2784	3913.32
2784	3913.32
3772	3906.07
3772	3906.07
1599	3860.69
1599	3860.69
4612	3834.81
4612	3834.81
8847	3831.28
8847	3831.28
3411	3816.14
3411	3816.14
5274	3810.73
5274	3810.73
5217	3682.2
5217	3682.2
6287	3644.89
6287	3644.89
9242	3629.92
9242	3629.92
6077	3606.74
6077	3606.74
1792	3602.37
1792	3602.37
6935	3481.03
6935	3481.03
3518	3434.16
3518	3434.16
5182	3404.92
5182	3404.92
3666	3385.92
3666	3385.92
8755	3309.12
8755	3309.12
1866	3262.66
1866	3262.66
265	3247.14
265	3247.14
4651	3210.95
4651	3210.95
662	3206.15
662	3206.15
3367	3200.08
3367	3200.08
2907	3126.22
2907	3126.22
4301	3118.3
4301	3118.3
7311	3105.61
7311	3105.61
4266	3067.94
4266	3067.94
3266	3066.88
3266	3066.88
1911	3052.25
1911	3052.25
2759	3043.87
2759	3043.87
3704	3003.28
3704	3003.28
757	2985.76
757	2985.76
6794	2972.67
6794	2972.67
5844	2970.99
5844	2970.99
4244	2966.36
4244	2966.36
4408	2943.39
4408	2943.39
4287	2901.89
4287	2901.89
